first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,can_select,chance_of_playing_next_round,points_per_game,penalties_saved,form,expected_goal_involvements,Predicted Points
Amad,Diallo,6,7,107,1591,25,552.3,516.8,477,14,16.0,154.7,6,0,3,4.7,53,MID,1,0.0,4.9,0,0.0,7.54,99.43841
Antony Matheus,dos Santos,0,0,8,135,2,50.7,35.0,74,0,302.0,15.8,0,0,0,0.2,57,MID,0,0.0,1.0,0,0.0,0.81,1.4202721
Bruno,Borges Fernandes,8,11,152,2375,37,1021.1,857.0,484,25,0.0,235.8,8,2,2,19.3,86,MID,1,100.0,5.4,0,12.0,14.0,158.43832
Altay,Bayindir,0,0,0,0,0,0.0,0.0,0,0,186.0,0.0,0,0,0,0.1,43,GK,1,0.0,0.0,0,0.0,0.0,0.7578843
Carlos Henrique,Casimiro,1,0,39,1118,18,276.2,350.4,184,3,19.0,81.1,3,0,2,0.4,47,MID,1,100.0,2.1,0,1.3,3.08,55.432404
Diogo,Dalot Teixeira,0,3,83,2486,39,327.0,424.8,224,9,182.0,97.3,7,0,4,5.7,50,DEF,1,100.0,3.0,0,5.7,3.75,73.963844
Christian,Eriksen,0,1,30,776,9,294.8,125.6,32,0,18.0,45.3,4,0,2,0.2,52,MID,1,100.0,1.9,0,2.0,1.9,37.870907
Jonny,Evans,0,0,14,288,2,4.1,51.0,6,3,209.0,6.1,1,0,1,0.1,44,DEF,1,0.0,2.3,0,0.0,0.1,23.04055
Alejandro,Garnacho,4,3,78,1633,26,325.5,312.0,701,4,261.0,133.0,4,0,1,4.9,59,MID,1,100.0,2.8,0,4.7,7.3,71.11871
Hannibal,Mejbri,0,0,0,0,0,0.0,0.0,0,0,30.0,0.0,0,0,0,0.0,45,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Tom,Heaton,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.2,39,GK,1,0.0,0.0,0,0.0,0.0,0.7578843
Rasmus,Højlund,3,1,57,1429,25,183.6,135.6,258,5,142.0,57.0,3,0,2,1.1,69,FWD,1,100.0,2.4,0,3.0,3.6,46.314575
Victor,Lindelöf,0,0,13,240,2,37.1,55.0,6,0,0.0,9.9,1,0,1,0.1,43,DEF,1,100.0,1.6,0,3.0,0.06,28.75189
Harry,Maguire,1,0,35,1354,22,78.2,344.2,135,3,0.0,56.0,2,0,7,0.6,49,DEF,1,50.0,1.8,0,2.7,1.02,40.899406
Kobbie,Mainoo,0,0,32,1282,20,211.9,154.8,99,0,0.0,46.9,5,0,5,1.7,52,MID,1,0.0,1.8,0,0.0,1.82,15.198729
Tyrell,Malacia,0,0,2,99,1,13.9,5.2,0,0,0.0,1.7,0,0,1,0.0,44,DEF,0,0.0,0.7,0,0.0,0.02,1.0821435
Lisandro,Martínez,2,1,68,1751,27,153.9,426.6,158,5,0.0,73.8,6,0,7,2.4,43,DEF,1,0.0,3.4,0,0.0,2.54,64.34627
Scott,McTominay,0,0,2,17,1,0.3,3.2,5,0,0.0,0.9,0,0,0,0.1,49,MID,0,0.0,1.0,0,0.0,0.07,1.4202721
Mason,Mount,0,0,8,243,4,55.2,20.8,43,0,36.0,11.8,1,0,2,0.1,63,MID,1,100.0,1.0,0,0.0,0.48,1.4202721
André,Onana,0,0,101,2610,40,13.0,658.0,0,5,226.0,67.1,8,0,0,5.8,50,GK,1,,3.5,1,3.7,0.19,80.82073
Facundo,Pellistri Rebollo,0,0,0,0,0,0.0,0.0,0,0,32.0,0.0,0,0,0,0.0,50,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Luke,Shaw,0,0,2,68,0,2.6,16.6,0,0,424.0,2.0,0,0,0,0.1,49,DEF,1,0.0,1.0,0,0.0,0.01,1.4202721
Joshua,Zirkzee,3,2,60,1235,21,203.3,214.8,308,6,274.0,72.1,3,0,2,1.8,65,FWD,1,,2.1,0,1.3,5.32,55.432404
Leny,Yoro,0,0,12,695,15,18.8,126.4,48,0,155.0,19.4,0,0,3,0.2,43,DEF,1,50.0,0.9,0,0.3,0.77,10.251827
Matthijs,de Ligt,2,0,66,1995,33,88.2,484.2,268,3,418.0,84.5,4,0,3,3.4,48,DEF,1,100.0,2.4,0,5.0,2.58,65.32633
Noussair,Mazraoui,0,1,72,2216,33,248.6,472.2,109,4,398.0,82.8,6,0,2,8.5,43,DEF,1,100.0,2.5,0,2.7,2.17,56.899338
Toby,Collyer,0,0,6,174,2,29.9,40.4,8,0,0.0,7.9,0,0,0,0.0,45,MID,1,100.0,1.0,0,0.7,0.45,13.271941
Ethan,Wheatley,0,0,0,0,0,0.0,0.0,0,0,636.0,0.0,0,0,0,1.1,45,FWD,0,0.0,0.0,0,0.0,0.0,0.7578843
Manuel,Ugarte,1,0,34,1321,21,133.7,224.0,71,1,301.0,42.7,3,0,8,0.1,49,MID,1,100.0,1.6,0,1.7,0.98,30.9002
Ayden,Heaven,0,0,2,95,1,0.7,28.2,2,0,276.0,3.1,0,0,0,0.1,40,DEF,1,75.0,1.0,0,0.7,0.0,13.271941
Jack,Fletcher,0,0,0,0,0,0.0,0.0,0,0,38.0,0.0,0,0,0,0.0,45,MID,1,,0.0,0,0.0,0.0,0.7578843
Harry,Amass,0,0,1,21,0,1.0,7.8,0,0,34.0,0.9,0,0,0,0.0,40,DEF,1,,1.0,0,0.3,0.0,9.364901
Jayce,Fitzgerald,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,45,MID,1,,0.0,0,0.0,0.0,0.7578843
Godwill,Kukonki,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,40,DEF,1,,0.0,0,0.0,0.0,0.7578843
Ruben Filipe,Marques Diogo Amorim,0,0,43,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,4.6,8,AM,1,,0.0,0,9.7,0.0,56.35704
Elyh,Harrison,0,0,0,0,0,0.0,0.0,0,0,238.0,0.0,0,0,0,0.0,40,GK,1,,0.0,0,0.0,0.0,0.7578843
Patrick,Dorgu,0,0,-1,222,5,35.3,28.8,31,0,107.0,9.5,0,1,1,0.2,45,DEF,1,100.0,-0.3,0,-1.0,0.16,0.7578843
Chido,Obi-Martin,0,0,2,26,0,1.8,1.2,2,0,16.0,0.4,0,0,1,0.2,45,FWD,1,,0.7,0,0.3,0.01,9.026774
Tyler,Fredricson,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,40,DEF,1,,0.0,0,0.0,0.0,0.7578843
Jack,Moorhouse,0,0,0,0,0,0.0,0.0,0,0,188.0,0.0,0,0,0,0.0,45,MID,1,,0.0,0,0.0,0.0,0.7578843
Sékou,Koné,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,45,MID,1,,0.0,0,0.0,0.0,0.7578843
Hubert,Graczyk,0,0,0,0,0,0.0,0.0,0,0,238.0,0.0,0,0,0,0.0,40,GK,1,,0.0,0,0.0,0.0,0.7578843
Dermot,Mee,0,0,0,0,0,0.0,0.0,0,0,3.0,0.0,0,0,0,0.0,40,GK,1,,0.0,0,0.0,0.0,0.7578843
Alex,Murphy,0,0,0,0,0,0.0,0.0,0,0,236.0,0.0,0,0,0,0.5,40,DEF,0,0.0,0.0,0,0.0,0.0,0.7578843
Miguel,Almirón Rejala,0,0,10,150,3,40.9,15.2,57,0,98.0,11.3,0,0,0,0.3,54,MID,0,0.0,1.1,0,0.0,0.71,9.626573
Harvey,Barnes,5,2,73,893,14,205.6,283.8,369,9,0.0,86.0,2,0,0,1.0,59,MID,1,100.0,3.2,0,2.7,5.92,74.52325
Sven,Botman,0,0,7,225,3,2.6,41.8,13,0,92.0,5.8,1,0,1,0.0,44,DEF,1,0.0,2.3,0,0.0,0.05,23.04055
Bruno,Guimarães Rodriguez Moura,3,6,103,2424,35,578.8,532.6,262,9,6.0,137.6,9,0,4,2.1,61,MID,1,100.0,3.7,0,5.0,7.14,102.54035
Dan,Burn,0,0,73,2430,36,67.9,496.8,176,5,0.0,74.3,9,0,8,6.4,44,DEF,1,100.0,2.7,0,2.3,1.89,60.81849
Martin,Dúbravka,0,0,44,900,12,0.0,220.2,0,2,22.0,22.0,5,0,0,2.2,42,GK,1,100.0,4.4,0,0.0,0.0,60.606087
Anthony,Gordon,6,6,113,2107,30,728.2,520.4,630,9,0.0,188.0,9,0,2,8.5,74,MID,1,0.0,4.3,0,1.3,12.51,106.49714
Lewis,Hall,0,7,102,2188,31,561.2,561.6,128,11,105.0,125.3,8,0,3,9.5,48,DEF,1,0.0,3.8,0,3.3,4.16,103.307655
Isaac,Hayden,0,0,0,0,0,0.0,0.0,0,0,378.0,0.0,0,0,0,0.1,44,MID,0,0.0,0.0,0,0.0,0.0,0.7578843
Alexander,Isak,19,5,169,2053,33,471.6,872.6,976,31,340.0,231.3,8,0,1,52.6,93,FWD,1,100.0,6.8,0,5.0,18.6,181.3551
Jacob,Murphy,5,8,101,1676,24,399.2,458.8,362,5,68.0,121.8,7,0,3,3.5,50,MID,1,100.0,4.0,0,3.7,7.66,98.49246
